Pair ID,Dataset,Language model,Specificity,Words,Readability score,Cosine similarity
pair_0,collaborative_ssd_case_inspection,gpt-oss:20b,2,69,93.98565217391305,0.8757082693586883
pair_1,collaborative_ssd_case_inspection,gpt-oss:20b,2,59,92.23604519774013,0.9152703353783718
pair_2,collaborative_ssd_case_inspection,gpt-oss:20b,2,144,90.30739130434785,0.9502449426898162
pair_3,collaborative_ssd_case_inspection,gpt-oss:20b,2,71,87.48938967136151,0.9202815080988284
pair_4,collaborative_ssd_case_inspection,gpt-oss:20b,2,73,84.78872146118725,0.900799124298577
pair_5,collaborative_ssd_case_inspection,gpt-oss:20b,2,101,69.63561056105614,0.8730952434209507
pair_6,collaborative_ssd_case_inspection,gpt-oss:20b,2,123,78.64326219512196,0.8708087717506036
pair_7,collaborative_ssd_case_inspection,gpt-oss:20b,2,109,87.49675076452601,0.7806563415275942
pair_8,collaborative_ssd_case_inspection,gpt-oss:20b,2,99,85.4109407216495,0.9102840329777491
pair_9,collaborative_ssd_case_inspection,gpt-oss:20b,2,118,82.1987570621469,0.8322219470031099
pair_10,collaborative_ssd_case_inspection,gpt-oss:20b,2,84,85.81285714285715,0.9147823854855855
pair_11,collaborative_ssd_case_inspection,gpt-oss:20b,2,93,74.07495967741937,0.8131307281751505
pair_12,collaborative_ssd_case_inspection,gpt-oss:20b,2,72,73.54400000000001,0.7595288830446667
pair_13,collaborative_ssd_case_inspection,gpt-oss:20b,2,137,78.98604379562043,0.916792264234762
pair_14,collaborative_ssd_case_inspection,gpt-oss:20b,2,132,83.8677272727273,0.8949686577392909
pair_15,collaborative_ssd_case_inspection,gpt-oss:20b,2,96,67.72375000000002,0.8922552094408642
pair_16,collaborative_ssd_case_inspection,gpt-oss:20b,2,68,70.61362745098042,0.8257081562897486
pair_17,collaborative_ssd_case_inspection,gpt-oss:20b,2,64,100.70750000000001,0.9151712301283385
pair_18,collaborative_ssd_case_inspection,gpt-oss:20b,2,53,77.77900943396227,0.8155338408524238
pair_19,collaborative_ssd_case_inspection,gpt-oss:20b,2,60,89.24500000000003,0.8521527838376531
pair_20,collaborative_ssd_case_inspection,gpt-oss:20b,2,92,84.3575,0.897263741890803
pair_21,collaborative_ssd_case_inspection,gpt-oss:20b,2,140,69.1857142857143,0.8590519371620895
pair_22,collaborative_ssd_case_inspection,gpt-oss:20b,2,100,82.47800000000002,0.8819527492717434
pair_23,collaborative_ssd_case_inspection,gpt-oss:20b,2,90,81.53750000000002,0.838968702615751
pair_24,collaborative_ssd_case_inspection,gpt-oss:20b,2,144,89.06250000000003,0.9274180149200502
pair_25,collaborative_ssd_case_inspection,gpt-oss:20b,2,96,80.92384057971016,0.8624500176649164
pair_26,collaborative_ssd_case_inspection,gpt-oss:20b,2,51,90.05058823529413,0.6193612468805989
pair_27,collaborative_ssd_case_inspection,gpt-oss:20b,2,129,72.43869767441863,0.8133817910753456
pair_28,collaborative_ssd_case_inspection,gpt-oss:20b,2,79,81.84191455696205,0.8802888878708285
pair_29,collaborative_ssd_case_inspection,gpt-oss:20b,2,125,79.74520000000001,0.7930402769924533
pair_30,collaborative_ssd_case_inspection,gpt-oss:20b,2,78,86.17326923076925,0.8754012715066131
pair_31,collaborative_ssd_case_inspection,gpt-oss:20b,2,104,76.71915384615386,0.7152432225074514
pair_32,collaborative_ssd_case_inspection,gpt-oss:20b,2,84,71.71285714285715,0.8907501685302706
pair_33,collaborative_ssd_case_inspection,gpt-oss:20b,2,72,89.65000000000002,0.8802025550487983
pair_34,collaborative_ssd_case_inspection,gpt-oss:20b,2,49,88.73484693877553,0.8382887205795879
pair_35,collaborative_ssd_case_inspection,gpt-oss:20b,2,103,86.24243932038839,0.9346139026598937
pair_36,collaborative_ssd_case_inspection,gpt-oss:20b,2,82,76.66652439024391,0.8151300506073682
pair_37,collaborative_ssd_case_inspection,gpt-oss:20b,2,107,74.96417445482868,0.9255452572780306
pair_38,collaborative_ssd_case_inspection,gpt-oss:20b,2,89,83.49169943820225,0.7692638468738667
pair_39,collaborative_ssd_case_inspection,gpt-oss:20b,2,107,91.02614953271029,0.9290904635084273
pair_40,collaborative_ssd_case_inspection,gpt-oss:20b,2,61,73.2479918032787,0.7293553443138006
pair_41,collaborative_ssd_case_inspection,gpt-oss:20b,2,82,85.20630081300813,0.905638633070951
pair_42,collaborative_ssd_case_inspection,gpt-oss:20b,2,128,70.83947916666668,0.8639244637932564
pair_43,collaborative_ssd_case_inspection,gpt-oss:20b,2,158,73.55350210970467,0.8871348042019299
pair_44,collaborative_ssd_case_inspection,gpt-oss:20b,2,97,71.45630154639176,0.8474367478733074
pair_45,collaborative_ssd_case_inspection,gpt-oss:20b,2,163,71.53141871165644,0.9029456394052393
pair_46,collaborative_ssd_case_inspection,gpt-oss:20b,2,65,71.60948717948719,0.7480971537270626
pair_47,collaborative_ssd_case_inspection,gpt-oss:20b,2,86,75.43135658914731,0.8908819225940221
pair_48,collaborative_ssd_case_inspection,gpt-oss:20b,2,104,85.27000000000002,0.9346873208610782
