Pair ID,Dataset,Language model,Specificity,Words,Words shorter,Words clearer,Readability score,Readability score shorter,Readability score clearer,Cosine similarity,Cosine similarity shorter,Cosine similarity clearer
pair_0,collaborative_ssd_case_inspection,gpt-oss:20b,1,24,20,30,87.30000000000003,93.47500000000002,80.50500000000002,0.5015503913178175,0.5417363388859616,0.4835456804902437
pair_1,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,19,21,92.86285714285715,94.04473684210527,88.83428571428574,0.6388888888888891,0.6062177826491072,0.5833333333333335
pair_2,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,17,23,85.13947368421054,90.05058823529413,84.17695652173914,0.6113149794833975,0.4517812304569954,0.7661308776828737
pair_3,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,17,25,94.04473684210527,100.00352941176472,76.55600000000001,0.6350852961085884,0.6019292654288462,0.5855400437691199
pair_4,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,14,21,92.86285714285715,95.93928571428573,92.86285714285715,0.5897678246195887,0.5516772843673704,0.5897678246195887
pair_5,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,15,84.45000000000003,84.45000000000003,84.45000000000003,0.7195920781292547,0.7195920781292547,0.7195920781292547
pair_6,collaborative_ssd_case_inspection,gpt-oss:20b,1,23,16,21,91.53347826086959,95.42,84.8057142857143,0.5555555555555556,0.5773502691896258,0.5773502691896257
pair_7,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,22,84.45000000000003,84.45000000000003,80.67772727272727,0.7195920781292547,0.7195920781292547,0.705215428354016
pair_8,collaborative_ssd_case_inspection,gpt-oss:20b,1,24,24,25,83.77500000000002,83.77500000000002,86.708,0.7660323462854266,0.7660323462854266,0.6432675209026771
pair_9,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,15,84.45000000000003,84.45000000000003,84.45000000000003,0.7195920781292547,0.7195920781292547,0.7195920781292547
