Pair ID,Dataset,Language model,Specificity,Words,Readability score,Cosine similarity
pair_0,collaborative_ssd_case_inspection,gpt-oss:20b,1,20,93.47500000000002,0.5972598827888347
pair_1,collaborative_ssd_case_inspection,gpt-oss:20b,1,18,85.16499999999999,0.5163977794943223
pair_2,collaborative_ssd_case_inspection,gpt-oss:20b,1,24,83.77500000000002,0.6460582824697985
pair_3,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,85.13947368421054,0.5984437489312765
pair_4,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,92.86285714285715,0.6487446070815475
pair_5,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547
pair_6,collaborative_ssd_case_inspection,gpt-oss:20b,1,23,91.53347826086959,0.638888888888889
pair_7,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547
pair_8,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,92.86285714285715,0.606217782649107
pair_9,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547
pair_10,collaborative_ssd_case_inspection,gpt-oss:20b,1,26,82.82961538461542,0.6188422143604214
pair_11,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547
pair_12,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405
pair_13,collaborative_ssd_case_inspection,gpt-oss:20b,1,16,84.845,0.8112086463534662
pair_14,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,94.04473684210527,0.5516772843673704
pair_15,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547
pair_16,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405
pair_17,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,94.04473684210527,0.777986605215499
pair_18,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,94.04473684210527,0.6350852961085884
