Pair ID,Explanation,Modifications,Language model
pair_0,"TR1 1 HRC has the same cost and same number of tasks as TR2 1 HRC, but it runs slower.","Replaced the complicated sentence with a concise and simpler version, removed redundant phrasing, and explicitly stated that TR1 1 HRC and TR2 1 HRC share cost and task count while TR1 is slower.",gpt-oss:20b
pair_1,"TR1 1 HRC matches another plan in cost and task count, but it's faster than TR1 2 HRC.","Simplified and shortened the description, replacing technical phrasing with plain language while maintaining the meaning that TR1 1 HRC has equivalent cost and task count to another plan but is faster than TR1 2 HRC.",gpt-oss:20b
pair_2,"TR1 1 HRC costs the same and has the same number of tasks as another plan, and it runs faster than TR2 2 HRC.","Simplified language, removed extraneous phrasing, and shortened the sentence while preserving that TR1 1 HRC is equivalent in cost and task count to another plan and faster than TR2 2 HRC.",gpt-oss:20b
pair_3,"""TR1 1 HRC"" costs and has tasks equal to another plan, yet it is faster than ""TR1 3 HRC"".","Simplified vocabulary, removed repetition of clauses, reduced length by omitting the unnamed comparative reference",gpt-oss:20b
pair_4,"TR1 1 HRC has the same cost and the same number of tasks as TR2 3 HRC, but it is faster.","Simplified wording, removed redundant phrases, made sentence shorter and more readable while preserving the idea that TR1 1 HRC matches TR2 3 HRC in cost and task count but runs faster.",gpt-oss:20b
pair_5,"TR1 1 HRC is cheaper, shorter, faster, and better than TR1 1 HRC CS 90.","Simplified sentence structure, removed repeated 'plan' words, combined adjectives into list, shortened overall message.",gpt-oss:20b
pair_6,"TR1 1 HRC costs the same and has the same number of tasks as TR2 1 HRC CS 90, but it is faster.",Simplified phrasing and made the statement shorter by removing repeated words.,gpt-oss:20b
pair_7,"TR1 1 HRC is cheaper, shorter, faster, and better than TR1 2 HRC CS 90.",Simplified comparison terms and combined clauses for brevity.,gpt-oss:20b
pair_8,"""TR1 1 HRC"" costs the same as ""TR2 2 HRC CS 90"", takes the same number of tasks, but is faster.","Simplified language, removed redundant phrasing, shortened overall length.",gpt-oss:20b
pair_9,"TR1 1 HRC is cheaper, shorter, faster, and better than TR1 3 HRC CS 90.","Simplified language, removed quotation marks and extra wording, condensed comparing terms into a list",gpt-oss:20b
pair_10,"TR1 1 HRC costs the same as the reference plan, has the same number of tasks, but it is faster than TR2 3 HRC CS 90.","Simplified wording, removed unnecessary repetition, made the statement shorter while preserving meaning. Replaced the vague “plan with same cost as” phrasing with clearer “costs the same as the reference plan” and used everyday terms.",gpt-oss:20b
pair_11,"TR1 1 HRC is cheaper, shorter, faster, and better than TR1 1 HRC CS 95.","The new narrative uses simpler wording, removes redundant descriptors, and shortens the sentence while keeping the same meaning.",gpt-oss:20b
