Pair ID,Explanation,Modifications,Language model
pair_0,"TR1 1 HRC and TR2 1 HRC have the same cost and same number of tasks, but TR1 1 HRC is slower. TR1's makespan is longer than TR2's, though both have equal costs and task counts.","Removed redundant variable declarations (e.g., 'TR1 1 HRC makespan'), combined shared attributes into concise comparisons, and simplified phrasing while preserving the cost/task parity and performance contrast.",qwen3:32b
pair_1,"Plan TR1 1 HRC is less time-consuming than both TR1 2 HRC and TR1 3 HRC. While TR1 1 HRC and TR1 2 HRC share the same cost and number of tasks, TR1 3 HRC is faster than TR1 2 HRC but slower than TR1 1 HRC. The speed ranking is: TR1 1 > TR1 3 > TR1 2.",Simplified comparisons using relative speed rankings instead of repeating metric values. Removed redundant references to 'makespan' by replacing with plain language speed descriptions. Combined equivalent cost and task count information. Reduced total sentence count from 7 to 3 while preserving all comparative relationships between plans.,qwen3:32b
pair_2,"'TR1 1 HRC' is faster than 'TR2 2 HRC', 'TR1 2 HRC', 'TR1 3 HRC', and 'TR2 3 HRC CS 90'. It shares the same cost and number of tasks with 'TR2 2 HRC'. Meanwhile, 'TR1 2 HRC', 'TR1 3 HRC', and 'TR2 3 HRC CS 90' are all faster than 'TR2 2 HRC'.","Simplified comparisons by grouping plans, removed redundant statements about makespan/tasks/cost parameters, and replaced verbose ontology phrasing ('has makespan' → 'faster than') while preserving all semantic relationships.",qwen3:32b
pair_3,'TR1 1 HRC' and 'TR1 3 HRC' have the same cost and number of tasks. 'TR1 1 HRC' is faster than 'TR1 3 HRC'.,Simplified by removing redundant variable references and using direct comparisons instead of ontology-based phrasing. Combined properties into concise logical relationships.,qwen3:32b
pair_4,"TR1 1 HRC has the same cost and number of tasks as TR2 3 HRC but is faster. TR1 1 HRC is faster than TR1 2 HRC, TR2 2 HRC, TR1 3 HRC, and TR2 3 HRC CS 90. Other plans like TR1 2 HRC, TR2 2 HRC, TR1 3 HRC, and TR2 3 HRC CS 90 are also faster than TR2 3 HRC.","Simplified language by removing repetitive structure, consolidated comparisons, and shortened entity names while preserving all semantic relationships and critical comparisons.",qwen3:32b
pair_5,"TR1 1 HRC is the best plan compared to TR1 1 HRC CS 90 and others. It costs less, takes fewer tasks, finishes faster, and has a shorter time to complete. TR1 1 HRC has the same cost and tasks as TR2 1 HRC but is faster than plans like TR2 2 HRC CS 95. Other plans (TR2 2 HRC CS 95, TR2 1 HRC CS 90, etc.) share the same cost and tasks as TR1 1 HRC CS 90 but are slower and less efficient.","Simplified repeated cost/task comparisons, removed redundant 'plan with same X as' phrasing, replaced technical terms (makespan) with common language, and grouped similar plans into categories.",qwen3:32b
pair_6,"TR1 1 HRC is as costly and has same tasks as TR2 1 HRC CS 90 but takes less time. It is faster than TR1/2/3 HRC and TR2/2/3 HRC variants. All these plans (TR1 1-3 HRC, TR2 2-3 HRC, etc.) perform faster than TR2 1 HRC CS 90.","Simplified technical terms (e.g., 'makespan' → 'time'), combined repetitive comparisons into concise lists, removed redundant plan parameter descriptions while preserving semantic relations.",qwen3:32b
pair_7,"TR1 1 HRC is the best plan overall. It is cheaper, shorter, and faster than TR1 2 HRC CS 90 and many other variations. TR1 1 HRC also has the same cost and task count as TR2 1 HRC. All other plans (e.g., TR2 2 HRC, TR1 3 HRC, TR2 1 HRC CS 90, etc.) are more expensive, longer, and slower than TR1 1 HRC.","Removed redundant comparisons, simplified technical terms (e.g., 'makespan' → 'total time'), grouped similar comparisons, and preserved core semantic relationships.",qwen3:32b
pair_8,"'TR1 1 HRC' is faster than 'TR2 2 HRC CS 90', with matching cost and number of tasks. It also outperforms 'TR1 2 HRC', 'TR2 2 HRC', 'TR1 3 HRC', 'TR2 3 HRC', and 'TR2 3 HRC CS 90' in speed. All other listed plans (TR1 2 HRC, TR2 2 HRC, TR1 3 HRC, TR2 3 HRC, TR2 3 HRC CS 90) are faster than 'TR2 2 HRC CS 90'.","Simplified language, removed redundant attribute declarations (makespan, tasks, cost), grouped repeated comparisons for conciseness.",qwen3:32b
pair_9,"TR1 1 HRC is the most efficient plan, being cheaper, quicker, shorter, and better than TR1 3 HRC CS 90. It also outperforms other similar plans like those with TR2 or CS variants in speed, cost, and task efficiency. TR1 1 HRC matches TR2 1 HRC in cost and tasks but is classified as a standard plan while TR1 3 HRC CS 90 is an atypical plan. This simplified version groups similar plan comparisons into general categories for readability.","Simplified technical terms ('cheaper plan than' → 'cheaper'), removed redundant plan-specific comparisons by grouping similar patterns, condensed makespan/task/cost details into general efficiency descriptions, and maintained key relational meaning between TR1 1 HRC and reference plans.",qwen3:32b
